bus_intern,bus_extern,capacity,duration
22,55,297,8
23,56,818,8
24,57,818,8
27,60,545,8
29,62,10,8
18,51,837,8
32,65,1269,8
38,71,431,8
15,48,2562,8
5,38,294,8
12,45,597,8
4,37,1961,8
9,42,2765,8
6,39,45,8
44,77,105,8
41,74,140,8
45,78,140,8
48,81,1449,8
49,82,2813,8
46,79,1202,8
47,80,721,8
5,38,1170,12
