scenario,yr,avg_temp_anomaly,avg_wind_anomaly,avg_solar_anomaly,avg_hydro_anomaly,avg_load_anomaly,prop_demand_unmet,prop_demand_unmet_hrs,prop_curtailed,prop_congested_pos_hrs,prop_congested_neg_hrs,prop_congested_pos_with_unmet_demand_hrs,conditional_entropy,prop_zoneJK_with_zoneG_shortage,batt_cap_sf
1,1998,3.1912721720935266,322.61690290019754,1418.9157682537327,-27931.24993974059,7540.091576896403,0.5473,0.4633152173913043,0.3608,0.8600543478260869,0.0,0.5387045813586098,0.4025289014565786,0.9720588235294118,0.7293333333333333
2,1998,3.1912721720935266,-1444.224500831687,156.01002277064055,-27931.24993974059,7495.03153761823,0.6186,0.5416666666666666,0.2819,0.9171195652173914,0.0,0.5906172839506173,0.6211503840975063,0.9718826405867971,1.388
3,1998,2.301272172093527,749.7653741320814,3071.789207251316,1587.8472154560004,4314.9446569371885,0.4184,0.31929347826086957,0.442,0.8165760869565217,0.0,0.3910149750415973,0.440557467281703,0.9217171717171717,0.6839999999999999
4,1998,1.9812721720935267,2225.369183842226,340.01665991435993,-54763.53560476007,4315.027162832326,0.402,0.34057971014492755,0.3693,0.791213768115942,0.0,0.430452203777905,0.5167496509006608,0.9763157894736842,0.8866666666666667
5,1998,0.8212721720935269,2458.359259059617,-2828.922004982983,16811.556156581264,1920.8721221271485,0.3363,0.3061594202898551,0.2992,0.7844202898550725,0.0,0.3903002309468822,0.5101324318186764,1.0,1.2226666666666666
6,1998,0.8212721720935269,2322.4483818494728,2587.3453479155696,16811.556156581264,419.1819275345892,0.1304,0.09782608695652174,0.4813,0.7441123188405797,0.0,0.13146682897139378,0.22252923647130127,0.9791666666666666,0.9986666666666666
7,1998,2.951272172093527,-1463.6403404331354,-2059.9768294696973,-54131.09663326802,7148.141113070404,0.6477,0.6009963768115942,0.1947,0.9130434782608695,0.0,0.658234126984127,0.4964611007000485,0.996742671009772,1.0306666666666666
8,1998,2.951272172093527,-1502.4720196360347,594.8920164360984,-54131.09663326802,6435.888263674803,0.6026,0.5244565217391305,0.3207,0.8971920289855072,0.0,0.5845532559313478,0.55893759433798,0.9836272040302267,0.6866666666666666
9,1998,2.661272172093527,1196.329684965414,2.888389455423024,-46190.66305486534,5865.623920768796,0.4694,0.4008152173913043,0.3265,0.8351449275362319,0.0,0.47993492407809113,0.48102640246022166,0.9845559845559846,1.0866666666666667
10,1998,3.071272172093527,2244.785023443676,1831.7030575774065,-65108.02697071016,6729.022894530938,0.4563,0.3759057971014493,0.3968,0.8052536231884058,0.0,0.4668166479190101,0.48475956397340947,0.9631901840490797,0.764
11,1998,2.551272172093527,-1890.7888116650204,570.3310443889977,-29907.772835080254,5694.384277259383,0.6243,0.5339673913043478,0.3139,0.9080615942028986,0.0,0.5880299251870325,0.495454453135776,0.9797979797979798,0.7746666666666666
12,1998,2.4212721720935266,-1172.402746411397,-2522.8126265047213,4148.236036867675,6595.263329416561,0.6383,0.5946557971014492,0.1814,0.9057971014492754,0.0,0.6565,0.5090854992931583,0.9989316239316239,0.7986666666666666
13,1998,2.4212721720935266,672.1020157262848,-3270.4176354660735,4148.236036867675,6778.480116971181,0.5697,0.5371376811594203,0.1989,0.8632246376811594,0.0,0.6222455403987408,0.4890395360829715,1.0,0.7533333333333333
14,1998,2.4212721720935266,-958.8285107954542,-1130.7205408525474,4148.236036867675,6154.810785837192,0.5923,0.5303442028985508,0.2535,0.8976449275362319,0.0,0.5908173562058526,0.4533793814095499,0.996328029375765,0.8733333333333333
15,1998,1.9412721720935266,-1716.0462552519766,1474.594517559289,14089.167186130324,3534.3529245445566,0.4983,0.3976449275362319,0.3794,0.8926630434782609,0.0,0.4454591577879249,0.4045574123692065,0.9348739495798319,1.3506666666666667
16,1998,1.7512721720935267,2264.200863045124,-1257.94652548419,-4091.757817339671,4606.99999427415,0.4374,0.3903985507246377,0.3193,0.7939311594202898,0.0,0.4917284654877353,0.5327452460838431,0.9873417721518988,0.8786666666666667
17,1998,1.801272172093527,-2182.026405686759,2815.838324872092,-43933.770835694675,3409.675966306852,0.5507,0.41757246376811596,0.4203,0.8913043478260869,0.0,0.4684959349593496,0.3514867935047028,0.9367521367521368,0.6706666666666666
18,1998,1.5412721720935267,1409.9039205813585,-793.270141897234,12696.042577399101,3293.2760764029736,0.4026,0.3446557971014493,0.3355,0.8066123188405797,0.0,0.4272880404267266,0.5406034067008363,0.9825581395348837,0.9319999999999999
19,1998,2.891272172093527,-1677.2145760490773,3533.5248897513166,-580.632373299925,5854.0982434807165,0.5748,0.4384057971014493,0.4325,0.9089673913043478,0.0,0.48231190832087695,0.36833727441535336,0.9100946372239748,0.9346666666666665
20,1998,1.721272172093527,1545.8147977915016,2455.146348302042,-17432.766759455175,3235.1944871811193,0.3809,0.29030797101449274,0.4372,0.7998188405797102,0.0,0.36296715741789354,0.502543561803232,0.9693877551020408,0.8226666666666667
21,1998,1.721272172093527,-2240.2739244911068,1011.1948713938298,-17432.766759455175,3789.225271660806,0.5867,0.47554347826086957,0.3287,0.9116847826086957,0.0,0.5216095380029806,0.4320471021912195,0.9664429530201343,1.3399999999999999
22,1998,0.8912721720935269,-415.18500195487513,-2958.0200603573785,38887.298343304916,2346.2928955986813,0.4913,0.4470108695652174,0.232,0.8559782608695652,0.0,0.5222222222222223,0.5639510907525827,1.0,1.1400000000000001
23,1998,0.8912721720935269,-1191.8185860128453,-1436.33852499506,38887.298343304916,1906.0910435908413,0.4801,0.41938405797101447,0.2818,0.865036231884058,0.0,0.4848167539267016,0.5893455019370076,0.9977426636568849,1.1960000000000002
24,1998,0.8912721720935269,2186.5375046393283,-2106.91004905303,38887.298343304916,2230.656439357803,0.3553,0.3197463768115942,0.2786,0.6295289855072463,0.024456521739130436,0.5079136690647482,0.4512486410722538,0.9971014492753624,1.1746666666666665
25,1998,0.8912721720935269,2691.3493342770084,2122.848795004941,38887.298343304916,821.7979568357888,0.1679,0.12182971014492754,0.4718,0.740036231884058,0.0,0.1646266829865361,0.19542155312826665,0.9433962264150944,0.996
26,1998,0.8912721720935269,-725.8384355780635,-920.5142757196975,38887.298343304916,1629.6960337609796,0.4145,0.353713768115942,0.2884,0.7119565217391305,0.001358695652173913,0.49681933842239184,0.4695993545583144,0.9954233409610984,1.2200000000000002
27,1998,0.8912721720935269,846.8445721393284,1194.3651463092879,38887.298343304916,1394.362143160823,0.3198,0.2513586956521739,0.4135,0.801177536231884,0.0,0.31373657433578295,0.47962065728272757,0.9486166007905138,0.788
28,1998,1.821272172093527,1875.8840710161385,-639.3032450675237,-26720.43642373807,4290.279165843593,0.412,0.35597826086956524,0.3059,0.6422101449275363,0.01358695652173913,0.5543018335684062,0.4608855319304982,0.990234375,0.8813333333333333
29,1998,1.821272172093527,652.6861761248362,1810.1844880242643,-26720.43642373807,3793.0255519908997,0.4207,0.3333333333333333,0.4113,0.8265398550724637,0.0,0.40328767123287673,0.385334740875082,0.9573333333333334,0.852
30,1998,1.5812721720935268,2128.28998583498,470.13426082015764,29744.613115624514,3626.3516273086275,0.3928,0.3242753623188406,0.3883,0.7866847826086957,0.0,0.41220495106505467,0.5012255435215047,0.984,0.7373333333333333
31,1998,2.201272172093527,-1541.303698838933,-3785.62372302646,-5806.029229311408,6259.417864315043,0.6614,0.6240942028985508,0.1284,0.9080615942028986,0.0,0.6872817955112219,0.4388485765252527,1.0,0.8493333333333333
32,1998,2.6712721720935266,-2686.83823532444,-126.02789208443167,-58474.857509871224,6139.400254367778,0.6711,0.5878623188405797,0.2603,0.9288949275362319,0.0,0.6328620185275475,0.5182740088189371,0.9935760171306209,0.9746666666666666
33,1998,2.9012721720935266,-2531.5115185128457,-3425.982250538537,-32827.19958912882,8062.071262590307,0.7427,0.7024456521739131,0.0722,0.9153079710144928,0.0,0.7674418604651163,0.47262494603440847,0.9992503748125937,1.0893333333333333
34,1998,2.9012721720935266,303.20106329874716,-1467.0209016496485,-32827.19958912882,7219.213925647217,0.5748,0.53125,0.2574,0.8754528985507246,0.0,0.6068287635799275,0.5220317882255493,0.9962871287128713,0.6466666666666666
35,1998,0.991272172093527,2400.1117402552695,-2003.9727844334654,15454.87399879634,2629.236985127694,0.3577,0.32518115942028986,0.3152,0.792572463768116,0.0,0.4102857142857143,0.6275264182503524,1.0,0.9586666666666666
36,1998,0.991272172093527,264.3693840958497,858.7665985013176,15454.87399879634,2111.9869941832426,0.375,0.30027173913043476,0.3554,0.6820652173913043,0.006793478260869565,0.4402390438247012,0.5148552081150821,0.9636963696369637,1.2866666666666666
37,1998,0.991272172093527,2613.6859758712117,-1410.7925519334651,15454.87399879634,2778.760397980964,0.3397,0.30117753623188404,0.3302,0.7875905797101449,0.0,0.3824036802760207,0.5820198504327947,1.0,1.2093333333333334
38,1998,0.991272172093527,1332.2405621755602,-3164.542804542161,15454.87399879634,3262.2942747636876,0.4389,0.4003623188405797,0.2383,0.8365036231884058,0.0,0.47861396859772604,0.426512561221573,1.0,1.2280000000000002
39,1998,0.991272172093527,-1949.036330469368,3334.649308066535,15454.87399879634,1222.2907233904675,0.4395,0.31657608695652173,0.461,0.8596014492753623,0.0,0.36828240252897787,0.34053889725748,0.9462686567164179,0.8253333333333333
40,1998,0.991272172093527,1972.9632690233866,936.1379331752305,15454.87399879634,2112.926920843367,0.2969,0.24094202898550723,0.3791,0.6082427536231884,0.02355072463768116,0.39612807148175727,0.5047847820766412,0.9752475247524752,1.0839999999999999
41,1998,0.991272172093527,-1657.7987364476292,-843.4027643247699,15454.87399879634,2494.637544873661,0.5174,0.44429347826086957,0.2863,0.8922101449275363,0.0,0.49796954314720815,0.5207352697157593,0.9920477137176938,1.2013333333333334
42,1998,0.991272172093527,1041.002968153821,-1771.858780411726,15454.87399879634,2904.2056529002643,0.4486,0.401268115942029,0.2966,0.8052536231884058,0.0,0.4983127109111361,0.5892155951503221,0.9935760171306209,0.6093333333333333
43,1998,0.991272172093527,924.5079305451252,3592.5537569795774,15454.87399879634,1219.7199051716482,0.2434,0.17527173913043478,0.4843,0.7853260869565217,0.0,0.2231833910034602,0.351778653128373,0.9194630872483222,0.8973333333333333
44,1998,0.991272172093527,1312.8247225741097,-2390.8294578030313,15454.87399879634,2992.212543843331,0.4506,0.4116847826086957,0.2464,0.6444746376811594,0.009510869565217392,0.6387912860154603,0.6376035944303321,0.9983416252072969,0.612
45,1998,0.991272172093527,1021.5871285523705,3618.344201870881,15454.87399879634,1265.0408999623776,0.2262,0.15942028985507245,0.4786,0.779891304347826,0.0,0.20441347270615565,0.30165378117072916,0.9384615384615385,1.044
46,1998,1.5012721720935267,-1987.868009672266,-2237.2109099829827,-1028.812209698585,3873.6423495038594,0.6107,0.5557065217391305,0.2091,0.8953804347826086,0.0,0.6206373292867982,0.5239111851298349,0.9975031210986267,0.9533333333333333
47,1998,1.5012721720935267,361.44858210309513,1785.4885349445528,-1028.812209698585,2930.127960629613,0.4242,0.327445652173913,0.4128,0.8206521739130435,0.0,0.3990066225165563,0.3370864969124642,0.9418604651162791,0.9613333333333333
48,1998,1.5012721720935267,-2084.9472076795123,-1618.3340723018223,-1028.812209698585,3688.8538190972927,0.6063,0.542572463768116,0.2356,0.8913043478260869,0.0,0.608739837398374,0.47686564991892144,0.9962121212121212,0.6226666666666666
49,1998,1.5012721720935267,710.9336949291837,83.57723132136519,-1028.812209698585,3172.859024441083,0.4339,0.3632246376811594,0.3598,0.801177536231884,0.0,0.45336348219332956,0.5178304191023362,0.9593908629441624,0.7826666666666666
50,1998,1.5012721720935267,-531.6800395635703,2868.523000886583,-1028.812209698585,2521.087449410048,0.4328,0.31567028985507245,0.4465,0.8442028985507246,0.0,0.3739270386266094,0.3127060664237525,0.9425981873111783,0.9293333333333333
51,1998,2.071272172093527,1468.1514393857065,2840.6191541716057,-44707.39161167484,3588.0745821569667,0.3562,0.26811594202898553,0.4461,0.8075181159420289,0.0,0.3320246775098149,0.4427018491108304,0.9466666666666667,1.1026666666666667
52,1998,2.701272172093527,477.94361971179086,183.21504072353846,-58985.21419283117,6333.143136682776,0.5084,0.4438405797101449,0.3286,0.8586956521739131,0.0,0.5168776371308017,0.5754759998660385,0.9739583333333334,1.0599999999999998
53,1998,3.9212721720935266,-1793.709613657773,-2165.2364455143834,-121264.15218579066,10257.650437820343,0.7278,0.6788949275362319,0.1378,0.936141304347826,0.0,0.7252056119980649,0.4354431774940467,0.9991589571068125,1.1933333333333334
54,1998,3.9212721720935266,2167.121665037878,1983.4111383745078,-121264.15218579066,9198.63926170601,0.4913,0.4057971014492754,0.37,0.8265398550724637,0.0,0.49095890410958903,0.456849561171665,0.923202614379085,1.0786666666666667
55,1998,3.9212721720935266,-2667.42239572299,-1933.3244687752533,-121264.15218579066,10243.27990605706,0.7777,0.7232789855072463,0.1229,0.9519927536231884,0.0,0.7597526165556613,0.4550664080011182,0.9984350547730829,1.116
56,1998,3.9212721720935266,147.8743464871539,2009.179135789964,-121264.15218579066,9116.62289773977,0.5779,0.48731884057971014,0.3624,0.8722826086956522,0.0,0.5586708203530634,0.44733571179825043,0.9526774595267746,0.7026666666666667
57,1998,1.511272172093527,-473.43252075922317,3719.438544093105,-42437.44075835241,2413.1591833616744,0.3579,0.25226449275362317,0.4587,0.8256340579710145,0.0,0.30554031815688426,0.2902566548264569,0.9106382978723404,1.1853333333333333
58,1998,2.1712721720935266,1895.2999106175885,-1542.589668183465,-2562.2150498434153,5304.071440839046,0.4539,0.4071557971014493,0.2938,0.8179347826086957,0.0,0.49778516057585825,0.5078426399608881,1.0,1.1346666666666667
