id,scenario,bus_44_pvalue,bus_44_est,bus_44_min,bus_44_max
1,1,0.01,-0.10280369733558574,-0.12800829612852924,-0.10217811936118738
2,1,0.0,-0.10019194622319004,-0.14457552798589363,-0.11127436475647202
3,1,0.02,-0.11248045060999355,-0.13629698138180296,-0.10730412366523213
4,1,1.0,-0.14727585608298102,-0.1384776220658324,-0.10073196421748422
5,1,1.0,-0.1200328500550899,-0.11987214117302993,-0.09704261947589073
6,1,0.935,0.0023611410925661325,0.0020998459890400056,0.015324844603817667
7,1,0.525,-0.11399522474818634,-0.12928035307111277,-0.10378031771560786
8,1,0.085,-0.11699480420725471,-0.1364770922242405,-0.10909561376812699
9,1,0.27,-0.12404281021639683,-0.13831042744922925,-0.10992381948659669
10,1,0.03,-0.08772337088374517,-0.11496668710572977,-0.0821023456955071
11,1,0.0,-0.08521110008830919,-0.127571192419288,-0.09298457441372218
12,1,1.0,-0.13176884927794905,-0.1256745065176981,-0.10503428164952815
13,1,1.0,0.020546424859652745,0.03808306158664676,0.0687781329224113
14,1,1.0,-0.1384147945601277,-0.1271025650295789,-0.09868142094890069
15,1,0.0,-0.078123523807778,-0.1313232035171836,-0.10349006836895193
1,2,0.74,-0.21873291906459458,-0.22703549305837273,-0.20743641052510578
2,2,0.05,-0.2125171367388404,-0.23475993772634887,-0.20952543518463088
3,2,0.285,-0.22615305409588662,-0.24277274797058027,-0.21738007011960442
4,2,1.0,-0.25180917801673425,-0.24113967720566326,-0.2142864468858903
5,2,1.0,-0.22231489538120416,-0.21886009935631526,-0.19878548054862674
6,2,0.97,0.0005341582584224014,0.000491254122235496,0.008458905281070628
7,2,0.545,-0.2156251653586294,-0.22742669528829437,-0.20663168232910809
8,2,0.0,-0.20922556019689525,-0.22940041404932335,-0.2107262730652913
9,2,0.015,-0.21239390630618746,-0.22776272527540464,-0.21092632868355043
10,2,0.365,-0.22350516698874742,-0.23680351329424873,-0.21078317595312446
11,2,0.93,-0.24075563077984644,-0.2506010993756208,-0.21736295685623447
12,2,0.995,-0.21976385035802423,-0.22071881976086452,-0.2017386705436797
13,2,1.0,0.024519277004904083,0.032494946634670896,0.10236246608240407
14,2,0.985,-0.22517653988508965,-0.23065759841023872,-0.20278951899701095
15,2,1.0,-0.24757210228932094,-0.24187945618216167,-0.213170983624488
1,3,0.955,-0.1496758247595892,-0.1531464304141939,-0.13220569457791895
2,3,0.54,-0.14467842729108868,-0.16089543037101925,-0.12907397668265158
3,3,0.81,-0.14214566282785482,-0.14869714521388094,-0.12898165410623488
4,3,1.0,-0.16274871138016275,-0.15338603456410219,-0.1257637006670358
5,3,0.97,-0.13652216779549875,-0.1375261195314595,-0.12096744728242932
6,3,0.955,0.00148960933115716,0.0012441539612078056,0.011530398207911352
7,3,1.0,-0.15438523596329284,-0.15409732493650957,-0.12745587430474317
8,3,0.0,-0.14126336044619958,-0.16615121879225964,-0.14330949901580708
9,3,0.0,-0.14584021433802985,-0.16756288676985504,-0.14593833652635868
10,3,0.11,-0.14208889345571574,-0.15803956799864022,-0.13808956745862125
11,3,0.41,-0.13999560698911898,-0.15431721930125972,-0.12323611210980959
12,3,0.52,-0.13033322563856142,-0.13921818825093984,-0.12123218739064308
13,3,0.97,0.08929204100140997,0.08435232476017362,0.13601820208603965
14,3,0.96,-0.14600039997380757,-0.15109376957263929,-0.12283940444635978
15,3,0.51,-0.14465345721118675,-0.1611267213287437,-0.1287999953618114
1,4,0.72,-0.1398232851690609,-0.14839114818596472,-0.12756650747896545
2,4,0.2,-0.14478473631432034,-0.16146342599219585,-0.13542141154547221
3,4,0.71,-0.14439886966820328,-0.15255096084961697,-0.13250561265901625
4,4,0.985,-0.15593986282216596,-0.15775205216911845,-0.13472062736692753
5,4,1.0,-0.1404781264919391,-0.13842618561603884,-0.1227944079820328
6,4,0.975,0.001952283796730736,0.001728187770991596,0.012177299191736601
7,4,0.83,-0.1380831276443866,-0.1459516315637477,-0.12554597043524027
8,4,0.595,-0.14339034706181847,-0.15279296599057926,-0.13491994348746797
9,4,0.72,-0.1461324297375611,-0.15147756734676537,-0.13550693482251483
10,4,0.375,-0.13994544582868146,-0.1519365700752635,-0.1288189479561103
11,4,0.885,-0.14358824191415748,-0.14962152659433944,-0.12672397714585787
