id,scenario,bus_44_pvalue,bus_44_est,bus_44_min,bus_44_max
1,1,0.025,-0.16757505086830546,-0.18857048359225065,-0.16263307346592873
2,1,0.005,-0.17424882565441882,-0.21037389362693956,-0.17247708983082444
3,1,0.505,-0.1772114620707327,-0.18904832252140405,-0.1680376660838927
4,1,0.99,-0.18514098665157058,-0.1858403146187197,-0.15989209217996364
5,1,1.0,-0.16695918231086643,-0.16208932690231373,-0.1431193502010655
6,1,0.925,0.0028329550520371782,0.0020504362571527324,0.013909356214884205
7,1,0.925,-0.18225811911474815,-0.18985234736256285,-0.15708415506349313
8,1,0.175,-0.18527584786329132,-0.2034227617680245,-0.17901438261395083
9,1,0.1,-0.16835242285495247,-0.18350528121029477,-0.1620163193997469
10,1,0.59,-0.17330814045657386,-0.19271108754821742,-0.15809359828312528
11,1,0.94,-0.18231539314620995,-0.187389347554678,-0.15884295207577165
12,1,1.0,-0.1684159745024702,-0.16753693195597028,-0.14745680901299163
13,1,1.0,0.09349219142617304,0.11744741378646939,0.1926933544949696
14,1,0.985,-0.17164506455926917,-0.17334742475954262,-0.14835115124405385
15,1,0.975,-0.18864764476149945,-0.19377242446018025,-0.1562807124566532
1,2,0.43,-0.13902861772600142,-0.16161414308034552,-0.12068910341955683
2,2,0.0,-0.12086311268991803,-0.15907483754352328,-0.1274636290896692
3,2,0.985,-0.14048369599167979,-0.14519617041050498,-0.11999026834263536
4,2,1.0,-0.15819972193630993,-0.14685463038333096,-0.10728596537914013
5,2,1.0,-0.14595399961657818,-0.1397289174089221,-0.1161878974672578
6,2,0.64,0.0008295895712777668,0.0006852093502833778,0.006369854616841364
7,2,0.985,-0.14475654872531593,-0.148345089801999,-0.11990593192454174
8,2,0.935,-0.13352212363875743,-0.1377690322201312,-0.11224761096118828
9,2,0.98,-0.13905502484388144,-0.14179445134287383,-0.11871715124995422
10,2,1.0,-0.13344520359104367,-0.13158468897024517,-0.1144724358438233
11,2,0.07,-0.11397024159778735,-0.1385365191442709,-0.10654451902978605
12,2,1.0,-0.148302403921607,-0.14639735084641176,-0.12460925303983025
13,2,1.0,0.03906266551688664,0.04731102495591544,0.10104348491277837
14,2,1.0,-0.13740440485060468,-0.12780195087364607,-0.09618530770735789
15,2,0.98,-0.13675185138510124,-0.14203979401892716,-0.10967211054278381
1,3,0.27,-0.14987098491508635,-0.16712346640048656,-0.13996864181167645
2,3,0.995,-0.17545028164180745,-0.17763542992665649,-0.14504046168481893
3,3,0.08,-0.16597547690242606,-0.18979810771393746,-0.15662255832085115
4,3,1.0,-0.17855151164542163,-0.16296417246627806,-0.13662373953525592
5,3,0.945,-0.1436121240424761,-0.1472846523594093,-0.12755794821388616
6,3,1.0,0.014439590327431251,0.016535025869949482,0.04352371091609575
7,3,0.0,-0.14876959421738012,-0.1720808476194411,-0.14891443609547128
8,3,0.015,-0.14618308786721118,-0.1666448038613981,-0.14165505470894188
9,3,0.005,-0.14531519044224347,-0.16828207856039432,-0.14522302581146238
10,3,0.4,-0.1601066035398892,-0.17325405165602403,-0.15021447614667824
11,3,0.0,-0.13463092904885532,-0.17313183371287394,-0.13891901263690826
12,3,0.915,-0.16484368565699845,-0.17219031795023498,-0.1464432791799717
13,3,0.945,0.0002134825062696244,0.00019394483522416905,0.005507772559371293
14,3,0.325,-0.15754129578956916,-0.1789522315040571,-0.1442911846483725
15,3,0.0,-0.14999224604825337,-0.17481442886336798,-0.1507341362271498
1,4,0.995,-0.21505401722139883,-0.21623974810005755,-0.19205145839967216
2,4,0.76,-0.2011754527490366,-0.21178132294490368,-0.18508020453083374
3,4,0.845,-0.1941875345861199,-0.20038577261098406,-0.18261930514009245
4,4,0.995,-0.2200552623535591,-0.22059865927250313,-0.19040738171251062
5,4,1.0,-0.19097095775890735,-0.1845039484846449,-0.17008725220516308
6,4,1.0,0.003529163236475341,0.003999394013744606,0.03195972385527579
7,4,0.995,-0.1994477437347898,-0.2000547557433838,-0.17929431920411826
8,4,1.0,-0.2058047760333588,-0.20495613374546198,-0.1866805740991882
9,4,0.935,-0.20153957761517588,-0.203856712469214,-0.18712901485389993
10,4,0.975,-0.20041581134031847,-0.20534578878698076,-0.18253479949940088
11,4,1.0,-0.20732003742768176,-0.19713381311673844,-0.17552184727873374
12,4,1.0,-0.196604853993387,-0.19132252180601633,-0.17397475015579345
13,4,1.0,0.027894254522800033,0.04920537948761616,0.09750865661741237
14,4,0.045,-0.18154599867967622,-0.19963041216629554,-0.17913409501186686
15,4,0.185,-0.1892290999098703,-0.2036960399804125,-0.1824784786093349
1,5,0.995,-0.1783079585580304,-0.18026182693730522,-0.157009596594031
2,5,0.04,-0.17163739633364308,-0.1931337970845641,-0.16840408001443607
3,5,0.1,-0.16023321548726951,-0.17453975618244577,-0.1539673142071776
4,5,0.875,-0.17345654192086402,-0.18226252356459496,-0.15475235371975257
5,5,0.95,-0.17602064723943564,-0.1781107512050282,-0.15763113484392266
6,5,0.995,0.002678847275912055,0.0022408857330500354,0.027356043464619173
7,5,0.995,-0.16620943206076833,-0.16716578927811654,-0.1486451311161304
8,5,0.22,-0.1669665644489034,-0.18077047967429974,-0.15885378847231058
9,5,0.025,-0.163373591805653,-0.1826949549639212,-0.16122017657371143
10,5,0.61,-0.1671665597925771,-0.1763785490197979,-0.1570986494586839
11,5,0.92,-0.17532979871113621,-0.18117847355477215,-0.1554487142195816
12,5,1.0,-0.1739646298770415,-0.1703347223526095,-0.1520267031116575
13,5,1.0,0.012864115552401856,0.0496384654337545,0.10650196320880578
14,5,0.045,-0.16791001256006965,-0.1867251178771966,-0.16418284087098675
15,5,0.7,-0.174193699328256,-0.18992387617062836,-0.1584698066804153
1,6,1.0,-0.17624837372820112,-0.1749014062452256,-0.15457047885769787
2,6,1.0,-0.18582899350792131,-0.185288970784049,-0.157677898530873
3,6,0.84,-0.1888561935487358,-0.1962406255296005,-0.16920742515409568
4,6,1.0,-0.20539702400876456,-0.1699728524453804,-0.14712325934781237
5,6,1.0,-0.16673381588282882,-0.1624976584200866,-0.14400307751555302
6,6,0.995,0.008462521662880196,0.008102648591211459,0.034071332056842873
7,6,0.11,-0.15670687024796812,-0.1721336566768594,-0.1519996959023606
8,6,0.49,-0.16134781183834132,-0.17438405882208524,-0.15183671816680125
9,6,0.63,-0.16464658818706202,-0.17668659615326648,-0.15323947094750223
10,6,0.96,-0.17668543814105003,-0.1798323045013976,-0.15820455080791376
11,6,0.075,-0.15423022894860244,-0.17877867989824553,-0.14717736701639222
12,6,0.995,-0.17812996143868298,-0.17849576314701418,-0.1543807860933881
13,6,0.52,0.0008268332850445148,0.0007059355061258543,0.014760247442077379
14,6,0.035,-0.15990260777438875,-0.1859707546548175,-0.1505504117642538
15,6,0.0,-0.15455475711003128,-0.18179544053199326,-0.1551788728150505
1,7,0.855,-0.18469108108250804,-0.19466619332073154,-0.16483096780011158
2,7,0.01,-0.15038929396944997,-0.18235032940343762,-0.14736941254462668
3,7,0.915,-0.14718136383900607,-0.14978757298238193,-0.13356957632420755
4,7,0.97,-0.16465017940293022,-0.1735938168211549,-0.13983657971762753
5,7,1.0,-0.17151384854858748,-0.16414014385997486,-0.14086027795939648
6,7,0.925,0.0019909945899350134,0.00136742767704634,0.02267354463072424
7,7,1.0,-0.18235390057400497,-0.16629939257789397,-0.14637025772676554
8,7,0.685,-0.16115040675072503,-0.16950575927410086,-0.15113359292479053
9,7,0.175,-0.15774431719789228,-0.171975305283447,-0.14940320748084712
10,7,0.96,-0.14850656081056124,-0.1523527952634326,-0.13262029874052583
11,7,0.41,-0.13943655935030963,-0.15640209684884065,-0.12893078421510945
12,7,1.0,-0.17214083669690403,-0.15977154007930192,-0.13886316309826474
13,7,1.0,0.028109193261483423,0.03811767022599133,0.10750045471824654
14,7,1.0,-0.16526290669521126,-0.155662611998019,-0.11994574778006507
15,7,1.0,-0.19571889829735334,-0.19272409977590987,-0.15296198835675665
1,8,0.75,-0.13663513656125253,-0.1587510482774791,-0.11603177878638526
2,8,0.0,-0.10118356953309467,-0.16196915295083977,-0.11848702148792836
3,8,0.815,-0.15133890008269393,-0.15893944792917347,-0.13150761825658272
4,8,1.0,-0.15078813636732105,-0.15014349341597322,-0.11215377954630909
5,8,1.0,-0.1327313670583925,-0.12401282830864466,-0.10339218312004844
6,8,0.685,0.0013778067967182839,0.0011388461096639713,0.006247635719250022
7,8,0.725,-0.1346240784210871,-0.1458239426258581,-0.11841446767130279
8,8,0.11,-0.12184533915691437,-0.14095568549275184,-0.11497076089749764
9,8,0.92,-0.1398235770284511,-0.14186305468252813,-0.1223579238990675
10,8,0.665,-0.137581045389152,-0.14893424690877158,-0.12516682441127872
11,8,0.035,-0.10607122865948165,-0.13677875028659425,-0.1004538844244108
12,8,1.0,-0.13235157624415755,-0.1242145808326422,-0.10414282636579437
