id,scenario,bus_44_pvalue,bus_44_est,bus_44_min,bus_44_max
1,1,0.005,-0.09598132177807714,-0.12495497158181924,-0.09487616819900524
2,1,0.0,-0.11396163898973008,-0.1643914491356101,-0.12237736653388658
3,1,0.085,-0.11841982972984948,-0.14050323726641667,-0.11366636018305092
4,1,1.0,-0.15397495098949962,-0.1442499535658727,-0.10855890171668486
5,1,1.0,-0.12510990393462404,-0.12394856760573136,-0.10141250063913669
6,1,0.24,0.0023102239979844175,0.0016107572830554862,0.007274439844567437
7,1,0.0,-0.09734165316672647,-0.1272093947363728,-0.10488546589466975
8,1,0.015,-0.10349956237419743,-0.12718152589703993,-0.10197819117894576
9,1,0.48,-0.12852612490699844,-0.14101892790749623,-0.11687039128255577
10,1,0.89,-0.15049798183340005,-0.16107604474760137,-0.1281713952213916
11,1,0.01,-0.10334348273333843,-0.1391479870751904,-0.10217197327228993
12,1,1.0,-0.12950262667651827,-0.12342909800451825,-0.10397782417475931
13,1,1.0,0.0632003916514503,0.086629028998366,0.1725226901439305
14,1,1.0,-0.12254919525612784,-0.11891343423997144,-0.08423572377911326
15,1,0.0,-0.08120067823936564,-0.12972509759309162,-0.09777710520285086
1,2,0.63,-0.17170630648950772,-0.18369098471045806,-0.15357301769861137
2,2,0.54,-0.16771782324929227,-0.1826648986473879,-0.15314003171747692
3,2,1.0,-0.17058491647701282,-0.16994454311931875,-0.1486926738443843
4,2,1.0,-0.1635126890247816,-0.15873431730209708,-0.1296575839959686
5,2,1.0,-0.14800730127365516,-0.14313828420804534,-0.12341927414365474
6,2,0.67,0.00040977921687002095,0.0002122855411079705,0.007179479619982665
7,2,0.995,-0.16159766053929953,-0.16211463158006836,-0.14006795959856438
8,2,0.215,-0.1559723499470744,-0.16902116957475002,-0.1493605992257466
9,2,0.27,-0.17644632237425406,-0.19240996233446342,-0.166849165401047
10,2,0.77,-0.17181891792086662,-0.18179571747087908,-0.15226299869345344
11,2,0.005,-0.12253260373497554,-0.15421644081714958,-0.12217381134405379
12,2,1.0,-0.14861039099567927,-0.14696406677359572,-0.12668419254451715
13,2,1.0,0.02982928601370549,0.03459969288072884,0.08702232876433769
14,2,1.0,-0.14823038140046624,-0.14629570047169554,-0.12084595637384035
15,2,0.015,-0.18124806366667667,-0.20825828981553832,-0.17891171902518757
1,3,0.125,-0.10667408018993278,-0.126811171323554,-0.09481052506002575
2,3,0.0,-0.11224572277792037,-0.1508302900063277,-0.11393937661104209
