id,scenario,bus_44_pvalue,bus_44_est,bus_44_min,bus_44_max
1,1,0.05,-0.1385392890091878,-0.15965620141899978,-0.13167226652101718
2,1,0.0,-0.13142514390526194,-0.1758745308735412,-0.13874280819995152
3,1,0.95,-0.1670738590729508,-0.16953194227159107,-0.14669133605023868
4,1,1.0,-0.18416178074925493,-0.17610870239287488,-0.13809436314252393
5,1,1.0,-0.1532552737850054,-0.1426744577108966,-0.11923824512576536
6,1,0.81,0.0020455970870107976,0.0016765339418940428,0.013827231817889363
7,1,0.205,-0.13905510143551045,-0.15786289952761523,-0.13282394825441077
8,1,0.275,-0.15646578775375292,-0.1738525257966155,-0.14727795750777078
9,1,0.2,-0.15412329349118187,-0.171735027731434,-0.14587417873160607
10,1,0.405,-0.15566663692349947,-0.172176348042855,-0.1453915419986826
11,1,0.01,-0.12752277578639185,-0.15445047365561745,-0.12669701321281276
12,1,1.0,-0.15477453203634944,-0.1433280629303425,-0.12419832882481058
13,1,1.0,0.04211002209342185,0.05617789976779042,0.09430210821150053
14,1,1.0,-0.1678359008176644,-0.16190921947577824,-0.12666391890790843
15,1,0.205,-0.1501683789455371,-0.1721943386175422,-0.1417605775256335
1,2,0.0,-0.17266563887109668,-0.22589507636100453,-0.18349386786227845
2,2,0.0,-0.19449135599660383,-0.25829297645025173,-0.19850509626799445
3,2,0.505,-0.18963714428503828,-0.20677542448966382,-0.17584487490317224
4,2,1.0,-0.1849961538246323,-0.1698659378466629,-0.13271394576596415
5,2,0.995,-0.2048107385590239,-0.2057579998835813,-0.1753937334979375
6,2,0.82,0.003807251229294817,0.002947266010699945,0.01809453744951428
7,2,0.045,-0.18421611565832235,-0.2208927971457892,-0.17853912609586053
8,2,0.69,-0.16200519353815337,-0.17189437603034222,-0.1467239779372472
9,2,0.5,-0.16123400404581295,-0.17699245459218307,-0.150884199878306
10,2,0.985,-0.20499249907865452,-0.20827394679506162,-0.17295320035705095
11,2,0.395,-0.16083024830091994,-0.1785788505238802,-0.1481500434519095
12,2,1.0,-0.16335608814050004,-0.16331768597661128,-0.14429162233869927
13,2,1.0,-4.440892098500626e-16,-4.440892098500626e-16,-4.440892098500626e-16
14,2,0.7,-0.16609065284476301,-0.18218277056279752,-0.13987948080105242
15,2,0.005,-0.16865688518777708,-0.20860103486476725,-0.1672928633288807
1,3,0.015,-0.11867350842459642,-0.14954142986977173,-0.11692049339178073
2,3,0.06,-0.13569824967889427,-0.16914193115665513,-0.12234178851826735
3,3,0.015,-0.14580519094985644,-0.1808769754361873,-0.14285188027004145
4,3,1.0,-0.18229336990974937,-0.15306471219144854,-0.11649353467976599
5,3,1.0,-0.1328862465166972,-0.1307051689181074,-0.10597080360235059
6,3,0.19,0.017911727915913556,0.01098005016361192,0.022071830038781215
7,3,0.0,-0.10812903454846322,-0.14949120062711585,-0.11679646286495803
8,3,0.0,-0.0902899520280697,-0.14326921148495791,-0.10745539184159729
9,3,0.005,-0.13508749337342224,-0.17512829363412677,-0.1313825493560536
10,3,0.365,-0.1512463564481722,-0.17546265715177947,-0.13275669966615208
11,3,0.0,-0.10449951747809959,-0.14364913589886383,-0.11100803418731199
12,3,0.505,-0.12133756244951492,-0.13774788356471976,-0.10471169468887634
13,3,1.0,0.0012279742671035265,0.0012279742671035265,0.004980770946699575
14,3,0.66,-0.1431112507816586,-0.16423765825143577,-0.12278525871320124
15,3,0.0,-0.09759439948342519,-0.1387358931489669,-0.10488660801282354
1,4,0.815,-0.20820355589262096,-0.21873747409196245,-0.1916404434922475
2,4,0.1,-0.19363297907562568,-0.22104240605089046,-0.18539252584085378
3,4,0.875,-0.1989975024616866,-0.20304953651273053,-0.18276230944167393
4,4,1.0,-0.226348862986478,-0.21545988411986997,-0.19162645576019832
5,4,0.99,-0.18538075277416585,-0.1856540476144012,-0.16726282270511883
6,4,0.925,0.0014640297880346154,0.0011196416281462618,0.02300735244790353
7,4,0.935,-0.18640669932307735,-0.18731263915198534,-0.17139699700673466
8,4,0.07,-0.1932447892065182,-0.21023113416046055,-0.19054016107190735
9,4,0.01,-0.1927618431513496,-0.21461043888573175,-0.19086048378605958
10,4,0.16,-0.18168578949795847,-0.19752890542354928,-0.17565803483796175
11,4,1.0,-0.196842946466465,-0.18826302067411305,-0.16330080407454242
12,4,0.945,-0.1891269987467112,-0.19795267771911904,-0.16965161301538687
13,4,1.0,0.04691562809913741,0.10096662107698151,0.19300778413465736
14,4,0.99,-0.20911443559172285,-0.2115790017890417,-0.1839108765344688
15,4,0.645,-0.19668934145522862,-0.20791175155409458,-0.1829864396219515
1,5,0.045,-0.14599245056814025,-0.1858642771623603,-0.13937311658996657
2,5,0.06,-0.12622599306502136,-0.160631293543295,-0.11496583521113665
3,5,0.0,-0.12177771843926194,-0.15434806579869123,-0.12197244061523425
4,5,1.0,-0.15430005778852157,-0.15115520686352202,-0.11967239545730753
5,5,1.0,-0.16149850711966138,-0.14845281792259563,-0.12432808328988995
6,5,0.725,0.014808438749567943,0.010572932810595015,0.02547871516928102
7,5,0.0,-0.13689057521975198,-0.1660665203831158,-0.13838275031760497
8,5,0.11,-0.13148937245141726,-0.1505330107327566,-0.11804113049741209
9,5,0.025,-0.12820172702875252,-0.1562603919492703,-0.12351267993579898
10,5,0.285,-0.12507260065242928,-0.1418440293388725,-0.1125596845079623
11,5,0.015,-0.12720493527146812,-0.1619907508555648,-0.12318255249577974
12,5,0.775,-0.15860517286069084,-0.1719229375471443,-0.13673838210287903
13,5,1.0,0.0005379238216356441,0.0005379238216356441,0.004824276649256332
14,5,0.04,-0.1349313863209509,-0.17269038582213106,-0.12565471900583558
15,5,0.12,-0.14223215030925515,-0.16184928740505347,-0.13376385280817873
1,6,0.88,-0.2000510581619734,-0.2134034727547544,-0.17674244064240732
2,6,0.82,-0.1802447104275331,-0.18966875845388512,-0.16356472386918247
3,6,0.675,-0.16631869324286905,-0.17287660144188283,-0.1537898705884383
4,6,1.0,-0.19260866594973305,-0.18845546357586523,-0.16493687492473463
5,6,1.0,-0.1637908283578745,-0.16133604770978,-0.13910463180199895
6,6,0.715,0.004498676186552419,0.002131982805039012,0.012514250787848624
7,6,1.0,-0.17318931669952697,-0.16536792718576962,-0.14937468248871902
8,6,0.935,-0.18049026501149798,-0.18401033917481768,-0.16435878287771916
9,6,0.935,-0.1795431332462305,-0.18332019003379438,-0.1632604192797387
10,6,1.0,-0.17347606100395555,-0.17144725859862608,-0.14846888239294972
11,6,1.0,-0.18896378144365525,-0.17727261261718189,-0.14979025405740032
12,6,0.96,-0.1589997235889609,-0.1610700261392951,-0.14585856335271424
