id,scenario,bus_44_pvalue,bus_44_est,bus_44_min,bus_44_max
1,1,0.005,-0.13271862641004933,-0.15668580741855656,-0.13045232289469907
2,1,0.02,-0.14641731584029125,-0.17619480414132457,-0.1436665061956375
3,1,0.64,-0.15597652084826605,-0.16716563015846866,-0.14203973098265654
4,1,1.0,-0.18462934405572567,-0.16572275896500313,-0.13624352497421044
5,1,1.0,-0.1438749756500653,-0.1390739603540954,-0.12048825938021926
6,1,0.735,0.0011155346421420909,0.0007463419184245978,0.009230147376579456
7,1,0.985,-0.14934639559583823,-0.15059282819356426,-0.13209241249188772
8,1,0.42,-0.15138982932432632,-0.16455268781910995,-0.14176070640172295
9,1,0.215,-0.15344881735391513,-0.1659170630344798,-0.14528515980352594
10,1,0.715,-0.16173429101268355,-0.17215958802385423,-0.1471374906406671
11,1,0.73,-0.15030466765436043,-0.16746601792823446,-0.13168522081816755
12,1,1.0,-0.14364732643822173,-0.14307357093782322,-0.12236120746776576
13,1,1.0,0.014426166653386918,0.028346169763517448,0.06481099170109905
14,1,1.0,-0.1662490228832399,-0.14830042065529364,-0.12040136005854357
15,1,0.025,-0.13601405220986307,-0.15355939447080544,-0.1321309975297538
1,2,0.0,-0.18635808083883762,-0.22373987649409244,-0.19393939382999276
2,2,0.0,-0.212605856952681,-0.24676939369505985,-0.21423896550322472
3,2,0.505,-0.20293871163412708,-0.21293887663651923,-0.19176487886253962
4,2,1.0,-0.21782255068583967,-0.2172692132018816,-0.18497210049112095
5,2,0.11,-0.19713815149725372,-0.2174135434249223,-0.19166306469428357
6,2,0.88,0.00026482306353869944,0.0001799175042762613,0.0032169985921743915
7,2,0.0,-0.2186718551515773,-0.2570522664017785,-0.21879717203632648
8,2,0.95,-0.20681991918656906,-0.2104951149526221,-0.18754776135556586
9,2,0.975,-0.20582144026595722,-0.21184883630310206,-0.18976469238500518
10,2,0.81,-0.21829890379253694,-0.22875508751075696,-0.20197205334799273
11,2,0.785,-0.2083286040331283,-0.2211135339233299,-0.19071486833604637
12,2,0.165,-0.19964177899315405,-0.21891063664782084,-0.1891951954774833
13,2,0.98,0.001745529140114499,0.0012406588755293768,0.013517709569400793
14,2,1.0,-0.21661001146424932,-0.2091183092387143,-0.18454827644748745
15,2,0.075,-0.2115310637120679,-0.23584958557463398,-0.20459523864493454
1,3,0.0,-0.07912176604062694,-0.1147062878724282,-0.08658157978347106
2,3,0.0,-0.10072869216324537,-0.14270047473427078,-0.10951845718142042
3,3,0.325,-0.12218707655847934,-0.13973506754544088,-0.10752069581401733
4,3,1.0,-0.15360712786294872,-0.1376937147317089,-0.10478525503905187
5,3,1.0,-0.12414461549032219,-0.12129643197776716,-0.10156670695059895
6,3,0.725,0.002739177922733038,0.002090450935440913,0.007714460621827346
7,3,0.07,-0.1133505001504894,-0.1313393484927209,-0.10636227426400366
8,3,0.325,-0.12467511694626521,-0.13968680716116105,-0.11084461390385751
9,3,0.53,-0.1300080003279224,-0.14615594711597166,-0.11573675011752828
10,3,0.265,-0.1316591579735808,-0.14946535120798105,-0.12137131404032792
