id,scenario,bus_44_pvalue,bus_44_est,bus_44_min,bus_44_max
1,1,0.06,-0.11201469912794712,-0.13828777738064868,-0.10376259458575952
2,1,0.0,-0.10067621568630562,-0.162904015361365,-0.1268897891799929
3,1,0.0,-0.1367284643792827,-0.1828521163316487,-0.14355116903651302
4,1,1.0,-0.14754586350154464,-0.14518157363551068,-0.11571309044911599
5,1,1.0,-0.13402337460583819,-0.1282544438409817,-0.10615193832564837
6,1,0.72,0.004270526163977495,0.003258694799762152,0.013960815802032789
7,1,0.0,-0.10667191228000081,-0.13090568039679543,-0.10819593588830922
8,1,0.02,-0.12298426663006899,-0.14794269564119014,-0.11889379694543883
9,1,0.075,-0.1330061859669128,-0.1531004738053224,-0.12475572370568776
10,1,0.375,-0.12297123799774456,-0.13569009511858288,-0.1135344611883956
11,1,0.0,-0.10689724602060244,-0.15261636869422404,-0.10718348538958603
12,1,1.0,-0.13045899416292858,-0.12640702486861155,-0.10555287461246506
13,1,1.0,0.02133689353581336,0.03288219985940066,0.06938079140183073
14,1,1.0,-0.15759702122286115,-0.13088217402627195,-0.10186617660065213
15,1,0.0,-0.09958440138649047,-0.13955741700356375,-0.10965654003913922
1,2,0.025,-0.10757069922193853,-0.13178027095290623,-0.1047019924122409
2,2,0.0,-0.11508817577873086,-0.16832025443703316,-0.1276936595650798
3,2,0.995,-0.14306542870648678,-0.14400072174316142,-0.12241598334870919
4,2,1.0,-0.14531823247932604,-0.13352413098138896,-0.09272741537455934
5,2,0.98,-0.14642737357197877,-0.14831203376437924,-0.12006597072001236
6,2,0.35,0.0010400255211815423,0.0007462030713465406,0.0058284456989852185
7,2,1.0,-0.13532540107198032,-0.13315427316617703,-0.11504584896146779
8,2,0.965,-0.13533534510613404,-0.1397124913166587,-0.115121564090192
9,2,0.97,-0.1401939951060339,-0.14585078984325886,-0.11919111360686546
10,2,0.995,-0.14045629153632463,-0.14273399764071892,-0.11546904619523168
11,2,0.0,-0.08964316872134136,-0.14257234959923407,-0.10830433779689971
12,2,0.79,-0.1514844107813154,-0.1640289325456435,-0.1342499403580517
13,2,0.99,0.00813850453370013,0.0074724263831991156,0.026962497309855005
14,2,1.0,-0.14205886407216758,-0.13090255197516953,-0.10458833049999092
15,2,0.655,-0.15584350096868704,-0.17219917885201033,-0.13601646045898122
1,3,0.085,-0.10700476611382753,-0.13842183364490496,-0.09797242298114266
2,3,0.005,-0.10783890401674542,-0.14431702038614774,-0.10766094520323223
3,3,0.0,-0.13039710235622362,-0.1674046662477266,-0.1341727820742916
4,3,1.0,-0.16211127784102566,-0.13849362311698749,-0.11132589729490001
5,3,0.825,-0.16051293673460512,-0.16943624078300806,-0.13645197586751584
6,3,0.965,0.014386756600006434,0.013009329161390193,0.02860568401614061
7,3,0.005,-0.12138421683938029,-0.14452091794930225,-0.1189562702541965
8,3,0.01,-0.14433549573180884,-0.17143215400503212,-0.14322517491765285
9,3,0.01,-0.14350790858574577,-0.17047194528403148,-0.14207391373752054
10,3,0.85,-0.1351315442465173,-0.14229982962132423,-0.11869939298174258
11,3,0.01,-0.11214065335931314,-0.1481488595909081,-0.10944379786716671
