id,scenario,bus_44_pvalue,bus_44_est,bus_44_min,bus_44_max
1,1,0.0,-0.08188767807421152,-0.12626936573908085,-0.09462184892386158
2,1,0.0,-0.08011447691319547,-0.14411999440926548,-0.10718858805678112
3,1,0.665,-0.12833040504859225,-0.13873908479716732,-0.11489035920323759
4,1,1.0,-0.1524172339400265,-0.133280512493076,-0.09816367941926593
5,1,1.0,-0.12296500683347834,-0.12207699872663907,-0.10369155773135857
6,1,0.21,0.002755070700076079,0.00129572500763242,0.0051775610444004805
7,1,0.015,-0.10803643034269668,-0.12746883766263056,-0.10653587823136698
8,1,0.06,-0.14103374302423294,-0.16254075276397237,-0.1355460864942717
9,1,0.105,-0.12341003434247685,-0.1423872631995266,-0.1160706110004258
10,1,0.78,-0.11777338184122767,-0.12675796440752612,-0.0990466912724044
11,1,0.025,-0.09846718536429494,-0.12874151677369725,-0.09006061494030482
12,1,1.0,-0.13093251078734053,-0.12525637604502426,-0.10148118941162808
13,1,0.995,0.10686309871079658,0.10328511881546731,0.1631251774210103
14,1,0.32,-0.11049116116649041,-0.13292212119509747,-0.09103428240063056
15,1,1.0,-0.1807769969235923,-0.16500356194586227,-0.12662642783615577
1,2,0.035,-0.1407798684551425,-0.16443801043499826,-0.1354911570960161
2,2,0.015,-0.16316731406314428,-0.19189101654472207,-0.1607209863413027
3,2,1.0,-0.17603065659024345,-0.17343466454266007,-0.15063865523424944
4,2,1.0,-0.18233744526317072,-0.16332382049072025,-0.13295755582868818
5,2,1.0,-0.17128940107885263,-0.16550181102001427,-0.13993825585163264
6,2,0.485,0.00037266502575938887,0.00024178240201599976,0.0015297378135983308
7,2,1.0,-0.17979718772179284,-0.16923122940471588,-0.14718427429693096
8,2,0.61,-0.15527001668715693,-0.1658221900784912,-0.14143177259115705
9,2,0.435,-0.15496527230716858,-0.16620601823532966,-0.14267423809183172
10,2,0.92,-0.15171654617814195,-0.15705628425588708,-0.13531463552631345
11,2,0.595,-0.15149048529426656,-0.164206891535001,-0.13863076390885876
12,2,0.995,-0.16650096242577775,-0.16823434325630296,-0.14582487529515825
13,2,1.0,0.006047709967307746,0.008552868947827363,0.03785675119128751
14,2,1.0,-0.1584111757300946,-0.15534949362337064,-0.12542278765999437
15,2,0.995,-0.19608557319548103,-0.20333598849762924,-0.16946085429507665
1,3,0.21,-0.15313048230800663,-0.17016162047799765,-0.1443759515360586
2,3,0.095,-0.1500715705499481,-0.168650358124253,-0.14433382371517228
3,3,0.995,-0.17491917946834734,-0.17507350435030924,-0.15436589384456242
4,3,1.0,-0.1819055420448167,-0.17239411045653097,-0.1396482382782437
5,3,1.0,-0.15046399354643178,-0.15006191254478637,-0.13107417333129895
6,3,0.645,0.0013250041132066848,0.0008640538539661513,0.013947729971985456
7,3,0.545,-0.15885024113266627,-0.17194805472449654,-0.14721380827826963
8,3,0.075,-0.16336685451615338,-0.17863640281334434,-0.15819126705104472
9,3,0.065,-0.1639915684945343,-0.18296427319298766,-0.16012889581869405
10,3,0.08,-0.15682547828784496,-0.17302432998196568,-0.15290774894329323
11,3,0.905,-0.15689938714495988,-0.16426017566091164,-0.13834856987351368
12,3,1.0,-0.1547079195592967,-0.15215184918649316,-0.13315303639152978
13,3,1.0,0.1372575417106816,0.16180237111682416,0.2531379698580398
14,3,0.985,-0.1457898786238191,-0.148320099105684,-0.1255680755357881
15,3,1.0,-0.17587231693470148,-0.16174302527841744,-0.1417891445711762
1,4,0.0,-0.10150931369320486,-0.1399221983006217,-0.106947140548313
2,4,0.01,-0.11274465701732554,-0.1479829505938509,-0.10264371893966856
3,4,0.595,-0.15667794966617163,-0.17376607728923654,-0.1412770835192659
4,4,1.0,-0.17252476398535374,-0.13714849318675734,-0.10943531461751768
5,4,1.0,-0.14335464049501095,-0.14218435807256266,-0.11816219418732753
6,4,0.99,0.014434651516065378,0.013136339652925821,0.03518730145878357
7,4,0.01,-0.12067370657120534,-0.14411198375491355,-0.11801380692948531
8,4,0.185,-0.1493156983259911,-0.17040324560144512,-0.14140755601020927
9,4,0.215,-0.1505301245709442,-0.16665590209981687,-0.14270675080252965
10,4,0.68,-0.13310856742700822,-0.14454592816703615,-0.11588736059879307
11,4,0.49,-0.13631365060854403,-0.15506119267029111,-0.11587575688350586
12,4,0.975,-0.1416553526573723,-0.14493715833942994,-0.11627457322750251
13,4,1.0,2.025570261698917e-5,2.025570261698917e-5,2.025570261698917e-5
14,4,0.51,-0.14242910607970485,-0.16109312701279166,-0.12269546160236472
15,4,0.0,-0.11819754622636482,-0.14841902585199476,-0.12172960100032475
1,5,0.0,-0.11402998698076204,-0.14033476512465176,-0.1148762538843868
2,5,0.025,-0.1277154705947,-0.15692222426476785,-0.12126634109817913
3,5,0.98,-0.136811376937473,-0.13994891442140456,-0.1194520627879269
4,5,1.0,-0.17136588416396037,-0.15954015534738825,-0.12585733491529041
5,5,1.0,-0.14091624459742944,-0.13899327600041245,-0.12224647575718868
6,5,0.93,0.002466731323033544,0.0020699837181334946,0.010094970712365647
7,5,0.92,-0.131989799343514,-0.138332249677405,-0.11582919379865775
8,5,0.795,-0.13395561123796923,-0.14108022219356253,-0.11509949210878113
9,5,0.615,-0.13206027702963166,-0.14238162729274154,-0.12030557885970233
10,5,0.555,-0.12932913322455633,-0.13745694647435416,-0.1192187964373754
11,5,0.66,-0.1333978965842281,-0.14275498677699444,-0.11784855308248891
12,5,1.0,-0.13613128838374103,-0.1315075138540361,-0.11121239839619394
13,5,1.0,0.02602109809322939,0.04790494702914283,0.10842239205119575
14,5,0.55,-0.13960605630781533,-0.15406865706714384,-0.1253801957783754
15,5,0.315,-0.12624344905116755,-0.14183698998976504,-0.11248138868780744
1,6,1.0,-0.16468469632139657,-0.1643321305543647,-0.14497153791096987
2,6,0.29,-0.14428622877802957,-0.15736644064038446,-0.13363800067126733
3,6,0.88,-0.15501666913301423,-0.16077994748309699,-0.1414149853351314
4,6,1.0,-0.1785667352472208,-0.16475700050551534,-0.14571926860640017
5,6,1.0,-0.14949139216240584,-0.14648598661911635,-0.1250253430571559
6,6,0.97,0.0009834720384103157,0.0008375821870436617,0.011356927988813714
7,6,1.0,-0.16296832774933478,-0.15962219040949516,-0.13840706423541638
8,6,0.54,-0.14919649785751052,-0.1588849821610957,-0.14027716761128403
9,6,0.91,-0.16460702737495728,-0.16895767998882702,-0.14822140118155505
10,6,0.68,-0.14810797666746015,-0.15748222765398814,-0.13602229535848823
11,6,1.0,-0.16191178613589965,-0.157063381060595,-0.1364549561304589
12,6,1.0,-0.15230053014693587,-0.14944380908396795,-0.1308138960312729
13,6,1.0,0.03743914622037092,0.06462425604023281,0.1221063646629803
14,6,1.0,-0.16267192809504452,-0.16122375342955014,-0.13430000191970284
15,6,0.98,-0.15178292554117684,-0.1532936896030977,-0.1338282828285629
1,7,0.0,-0.1258976051724041,-0.169108592281686,-0.13155841427264842
2,7,0.0,-0.1401835628482341,-0.19476518157357456,-0.1610062318584751
3,7,0.63,-0.16939656775357825,-0.18170819368648508,-0.1493538483382494
4,7,1.0,-0.16025557221011544,-0.1418391400015925,-0.1096685022800125
5,7,1.0,-0.14911492187700437,-0.14447339974256715,-0.11915040258616627
6,7,0.52,0.003940448405102437,0.0025810993790402748,0.011047236667402593
7,7,0.965,-0.16605668168754048,-0.17075966210476687,-0.14378270961219458
8,7,0.055,-0.14786758212939596,-0.16361370135153602,-0.14365805473595675
9,7,0.155,-0.14872777172730364,-0.1645881117197914,-0.1423572516126442
10,7,0.965,-0.1354400805610585,-0.1387879513833295,-0.11461247389624811
11,7,0.0,-0.1159755408251402,-0.15580574961317661,-0.12331596236945355
12,7,0.835,-0.1479426842569736,-0.15885872427126432,-0.12923763928210358
13,7,1.0,0.0,0.0,0.0
14,7,0.87,-0.12924266118497615,-0.1389259350815966,-0.10380126267185716
15,7,0.035,-0.1261280318004186,-0.14924947795840446,-0.12295183598613683
1,8,0.01,-0.09662185835911279,-0.13352285625059204,-0.094244159703788
2,8,0.0,-0.1141667246909661,-0.17134370746561672,-0.13048605750163583
3,8,0.985,-0.14547519358073605,-0.14659310874916573,-0.12057468735842995
4,8,1.0,-0.1628081252016077,-0.15095784383402835,-0.11615025754634045
5,8,1.0,-0.1307740270476838,-0.12215678084188897,-0.10175559308197703
6,8,0.95,0.0011583986001413304,0.0011149626834139337,0.0019733300924620334
7,8,0.44,-0.12067184592752697,-0.13670175068102258,-0.10875815626506562
8,8,0.24,-0.11805378763721233,-0.13311019329612275,-0.11008636205368798
9,8,0.78,-0.1290861269607678,-0.13717774483900286,-0.11594139871547486
10,8,0.94,-0.13577879343489307,-0.14105124808129202,-0.11464525409565142
11,8,0.315,-0.12472907347520042,-0.1484134380716034,-0.10733900825581637
12,8,1.0,-0.13192622173384566,-0.1256292588466837,-0.10763178528964273
13,8,1.0,0.06973268641339492,0.07599667118621167,0.1311705642355554
14,8,0.85,-0.1308601534260795,-0.13857281029763927,-0.10342176537894265
15,8,0.995,-0.15961176604156563,-0.15972812594982813,-0.12026990503076404
1,9,0.005,-0.13802879432031234,-0.1613777435203463,-0.13738379308064863
2,9,0.0,-0.14177032562733322,-0.1717145570981801,-0.14381644129404472
3,9,1.0,-0.15864922200860698,-0.15646490017750767,-0.13235912770183147
4,9,1.0,-0.16429403025751071,-0.16100517502529665,-0.1245846209410018
5,9,1.0,-0.15044795104944877,-0.1481451135464316,-0.13068340417643606
6,9,0.76,0.000985035931384548,0.0006558332618680218,0.007240779177132506
7,9,1.0,-0.15297276668024265,-0.15273693859752166,-0.12926153412346403
8,9,0.315,-0.15486528486626583,-0.1676104694606855,-0.14073219304119866
9,9,0.675,-0.16039023561780563,-0.1696502840716345,-0.15034685991194147
10,9,0.945,-0.15018751305913933,-0.1599597990896992,-0.13323927836353436
11,9,0.97,-0.15358672410105514,-0.156107130942775,-0.13084531910679928
12,9,1.0,-0.1557028281614261,-0.14970012437105693,-0.13251835401922427
13,9,1.0,0.02520918178323006,0.06860308061222975,0.14583117319705208
14,9,0.835,-0.15358220921514432,-0.16171678112400295,-0.12892273084681038
15,9,1.0,-0.1934206192625679,-0.18251338262788774,-0.1487211488018478
1,10,0.91,-0.1400102377473185,-0.14912253385959753,-0.11695055064621236
2,10,0.0,-0.08936522806115207,-0.14310449558982813,-0.10741555261270978
3,10,0.52,-0.11737236605610947,-0.12965652964277655,-0.10539747286386864
4,10,1.0,-0.16308061010828157,-0.14090608354377757,-0.10823530619079062
5,10,1.0,-0.1250968479235061,-0.122251067222833,-0.10104093370981226
6,10,0.84,0.003111524327882753,0.0027183652589177765,0.01577952870961785
7,10,0.0,-0.09955088439771076,-0.12360542804157695,-0.10225176389241634
8,10,0.435,-0.1371983385836397,-0.15222835139511698,-0.12090530822099757
9,10,0.64,-0.14123492299315912,-0.15620266523056855,-0.12735434772405194
10,10,0.535,-0.12439744665566703,-0.13456860979469926,-0.11277773899350099
11,10,0.0,-0.10036039056612166,-0.13194563707047544,-0.10107668957173047
12,10,0.79,-0.12538376684227584,-0.1342883737503158,-0.1099897501747053
13,10,1.0,0.0621576572586815,0.11259447000177869,0.17709871128057064
14,10,1.0,-0.12186161145739584,-0.11924136557306998,-0.09316357191396017
15,10,1.0,-0.15375928118318458,-0.13990608754449652,-0.10765028744556804
1,11,0.0,-0.10784632836132049,-0.15714644067369662,-0.12065209062439447
2,11,0.0,-0.13328709195196034,-0.1832074863766582,-0.14213389430242185
3,11,0.085,-0.14177384022788883,-0.16839073711145708,-0.13415771016832975
4,11,1.0,-0.14541369136926702,-0.12732193772524436,-0.09793827401527432
5,11,1.0,-0.15337878723410364,-0.144590738606285,-0.11883918772508037
6,11,0.8,0.004826718838551347,0.003282080325024417,0.012654792975319129
7,11,0.38,-0.12913562735086712,-0.14799777227440025,-0.11597110248621172
8,11,0.025,-0.12599957794937686,-0.14979905992898868,-0.12113758752524297
9,11,0.07,-0.12790276676508608,-0.14982519544345058,-0.12272833335076257
10,11,0.5,-0.12174087136456321,-0.13775859144549463,-0.10803185605392497
11,11,0.195,-0.13295148262044526,-0.15995266299210403,-0.1233215277971316
12,11,0.995,-0.13832576094061322,-0.1384388619731116,-0.11147995076894951
13,11,1.0,-4.440892098500626e-16,-4.440892098500626e-16,-4.440892098500626e-16
14,11,0.955,-0.12393790022618455,-0.12847057257054995,-0.10140287613988974
15,11,0.005,-0.1345806150359161,-0.16367464342609633,-0.13302542823014996
1,12,0.0,-0.11554229647862509,-0.14951653475750082,-0.11588348564425086
2,12,0.0,-0.10948996898654914,-0.16840493644307103,-0.13487358486337966
3,12,0.65,-0.145427737791363,-0.15703535170416535,-0.1344198446576679
4,12,1.0,-0.15491125560585225,-0.1548000391638222,-0.11615643363256176
5,12,1.0,-0.14205426957635908,-0.1362567846890975,-0.11480809663767816
6,12,0.995,0.0007942218804792844,0.0007496810070071191,0.0021233884155540395
7,12,0.465,-0.1290549016461626,-0.1398929680630939,-0.12006897477858326
8,12,0.655,-0.14683524347952043,-0.15999576495276052,-0.13177067908486065
9,12,0.865,-0.15133330822535215,-0.1591661521839562,-0.13402375237165906
10,12,0.955,-0.1468758891571836,-0.14998421980513885,-0.12873057298305454
11,12,0.0,-0.08998384807336922,-0.14211126519836637,-0.10239859235307541
12,12,1.0,-0.14456170105178667,-0.1393626715571704,-0.11783970126521502
13,12,1.0,0.005319903695451433,0.006157055320232363,0.023446856896479407
14,12,0.9,-0.1342252650821652,-0.1414642807354614,-0.11085150134046583
15,12,1.0,-0.1881101727690908,-0.18276347658387834,-0.15010046173891115
1,13,0.0,-0.10123014906345651,-0.14575063717640702,-0.11423945873278495
2,13,0.0,-0.12666113817913188,-0.16820377242995752,-0.13232136856379606
3,13,0.025,-0.1199656347766397,-0.13837654878026628,-0.1170602234505011
4,13,0.99,-0.16266580667019367,-0.16865878137212312,-0.12584870902350348
5,13,1.0,-0.13157592589521674,-0.12781845994706215,-0.10925661091649798
6,13,0.49,0.0032008702672825518,0.0023854330121044764,0.009297061387406158
7,13,0.995,-0.1529555254657951,-0.15407492298665926,-0.12995785797985615
8,13,0.885,-0.1349613881487078,-0.14071746049445663,-0.1201697854370332
9,13,0.595,-0.13135533099042923,-0.1403432413112118,-0.11938460065946462
10,13,0.235,-0.12390476258806678,-0.1396706311547633,-0.1161205309069445
11,13,0.19,-0.12869957200215312,-0.15460132930529621,-0.11908864462490118
12,13,1.0,-0.13612765268227892,-0.1278397296038938,-0.11392591641987718
13,13,0.95,0.01375455779371304,0.010698081601718812,0.031618957088526134
14,13,0.975,-0.1650227932631442,-0.17294152774138005,-0.13841726952573594
15,13,1.0,-0.21060241331165533,-0.18194071913950874,-0.1446611278385383
1,14,0.0,-0.1356675652650762,-0.16416950103785483,-0.13920318407873197
2,14,0.005,-0.1565025268462647,-0.19428032670291864,-0.15518910157548313
3,14,0.875,-0.16586185081609342,-0.17536058824460218,-0.1491773408420141
