id,wls_pvalue,wls_est,wls_min,wls_max,block_pvalue,block_est,block_min,block_max
1,0.0,-0.1791722759120906,-0.2107715030543524,-0.18069825740012027,0.05,-0.18070488144313804,-0.2193856551797353,-0.17252961109029366
2,0.015,-0.242442188300386,-0.2821294362006031,-0.2405290714964087,0.04,-0.24661505671807868,-0.2802874402065283,-0.23954192437848723
3,0.945,-0.1949193409772101,-0.19968330110202293,-0.1714389760526281,0.37,-0.1949193409772101,-0.2132345289612801,-0.18328241750462682
4,1.0,-0.2139829314369757,-0.21361016622709994,-0.16149065910004876,0.39,-0.21055243549088326,-0.23854469529897135,-0.18625254018368956
5,0.695,-0.17367089601490973,-0.18764575150636983,-0.15285610363271435,0.445,-0.17367089601490973,-0.18767572408719,-0.1593975345453712
6,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
7,1.0,-0.2389188161777328,-0.21667392602654717,-0.18785462175861958,0.995,-0.2389188161777328,-0.23917388582026816,-0.2063487887053891
8,0.955,-0.18497452994861757,-0.19002535920935643,-0.16495810347231835,0.68,-0.18497452994861757,-0.19394712725541338,-0.1712664683523412
9,0.99,-0.18750601910102282,-0.1910082183345125,-0.16763218602075683,0.725,-0.18750601910102282,-0.19551379959908005,-0.1713716404788358
10,0.045,-0.1595417937091422,-0.18016544135297718,-0.1544918691358099,0.07,-0.15987445254967994,-0.18476204245492636,-0.14565937569071224
11,0.14,-0.1453384857222471,-0.18343782378116186,-0.1314233254971113,0.0,-0.14484921717581775,-0.21411322710063838,-0.14574739258431033
12,0.265,-0.17074280154266228,-0.19391236001185322,-0.16116711685385648,0.575,-0.17073468670765063,-0.18546593888213678,-0.15603310472866688
13,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
14,1.0,-0.20049362204644786,-0.18307053883903573,-0.1444982815495205,0.485,-0.20074406603353404,-0.22994397134134656,-0.17457535354829704
15,0.61,-0.18356497491287319,-0.19328068673592969,-0.17042811862578283,0.015,-0.18356497491287319,-0.20678628162887366,-0.18002681444679752
