bus_intern,bus_extern,capacity,duration,storage_cap,wls_pvalue,wls_est,wls_min,wls_max,block_pvalue,block_est,block_min,block_max
22,55,297,8,1492.128,1.0,-0.5354733671749053,-0.47786244443199594,-0.37628320017728434,0.04,-0.540904299982738,-0.6404585604007812,-0.5281190191494574
23,56,818,8,4109.632,1.0,-0.5375246372913768,-0.43309541141255004,-0.37681084228245665,0.675,-0.537473792845261,-0.5841115279483838,-0.48117530614059345
24,57,818,8,4109.632,1.0,-0.5912168760169517,-0.42540935160810456,-0.3648133697107942,0.79,-0.6111393512471872,-0.6459083047147601,-0.5484607283785011
27,60,545,8,2738.08,1.0,-0.5367110027450804,-0.33873184550121055,-0.2819613834119863,0.03,-0.5393387713090552,-0.6429250601844287,-0.5296628393720441
29,62,10,8,50.24,1.0,-0.29049449693089463,-0.2362942375673033,-0.19638551058073048,0.06,-0.2889530328996752,-0.3526564870230992,-0.2786712430184811
18,51,837,8,4205.088,1.0,-0.2399923963067073,-0.22812959021474424,-0.1889340424917053,0.11,-0.240234585858943,-0.2892692705644713,-0.21435773477081543
32,65,1269,8,6375.456,0.99,-0.22793024923932964,-0.23141988440220013,-0.18652857699562578,0.0,-0.22647143367682104,-0.28398020485007486,-0.23063051756996675
38,71,431,8,2165.344,0.905,-0.2112099471397509,-0.2228141415056283,-0.1859753712956292,0.005,-0.21166184430121293,-0.2609829538925338,-0.21025515126029018
15,48,2562,8,12871.488,1.0,-0.6737503526141824,-0.5146392737395745,-0.410237346832662,0.05,-0.6720163841089598,-0.7577629187672131,-0.6505810589668539
5,38,294,8,1477.056,1.0,-0.2908484317642439,-0.2666786851898603,-0.21821446983095769,0.135,-0.2872966670994526,-0.34879938725188625,-0.2746100497061203
12,45,597,8,2999.328,1.0,-0.22973633938549037,-0.22624025974458403,-0.18387803329193783,0.07,-0.23102231915835245,-0.2915955552822363,-0.21512505863513787
4,37,1961,8,9852.064,1.0,-0.3743319570914116,-0.2722051066973885,-0.22885154523605603,0.48,-0.3732019287102812,-0.42006213326641584,-0.33368118332417696
9,42,2765,8,13891.36,1.0,-0.3264072833941182,-0.2668092420859064,-0.22130856954654615,0.75,-0.3264315053413156,-0.3553663434596677,-0.28215798321316254
6,39,45,8,226.08,1.0,-0.36649495972230367,-0.30049909198888985,-0.25533257421508826,0.17,-0.3668770777397368,-0.43599822108972214,-0.3393782782662057
44,77,105,8,527.52,1.0,-0.357008131965837,-0.26538662882511493,-0.2227110997476587,0.525,-0.3582044929211055,-0.40982813969697823,-0.316251827897872
41,74,140,8,703.36,1.0,-0.3489740274603652,-0.2524961018345201,-0.21593535499680658,0.32,-0.34991872602766677,-0.39687005732164,-0.323920281734269
45,78,140,8,703.36,1.0,-0.3405218893476971,-0.24696380027713954,-0.20609587078918323,0.385,-0.33938518999446876,-0.3778871842593546,-0.30209560993580337
48,81,1449,8,7279.776,1.0,-0.437211105002751,-0.2940983753598938,-0.24519693753178592,0.835,-0.4367225740516505,-0.46810042875839797,-0.3811645895989817
49,82,2813,8,14132.512,1.0,-0.45427297183560517,-0.3251977951745364,-0.274985853829447,0.465,-0.4546280610413007,-0.5163713662029392,-0.4162900081351528
46,79,1202,8,6038.848,1.0,-0.38068125748380277,-0.2586127399021908,-0.21511752835494757,0.77,-0.3796562979416157,-0.4075152292207987,-0.32679079365063
47,80,721,8,3622.304,1.0,-0.35453221128106743,-0.25106688497432234,-0.2140353578081385,0.445,-0.3572837154225141,-0.4151066649559421,-0.328683581221503
5,38,1170,12,8817.12,1.0,-0.29640585192037194,-0.2846896928264406,-0.23022046559450213,0.645,-0.298678908673202,-0.3357522238730709,-0.2616990047307788
