id,fbus_intern,tbus_intern,fbus_extern,tbus_extern,rating,dc,wls_pvalue,wls_est,wls_min,wls_max,block_pvalue,block_est,block_min,block_max
99,36,48,69,81,1300,true,0.915,0.013098974425019394,0.011018875214296786,0.024239959188161686,0.87,0.013098974425019394,0.008571116332382056,0.03135483058526334
100,15,48,48,81,1250,true,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
