id,bus_intern,bus_extern,type,wls_pvalue,wls_est,wls_min,wls_max,block_pvalue,block_est,block_min,block_max
34,22,55,Wind,0.02,0.020118100641029146,0.0076805426387756,0.023493307901304883,0.015,0.020118100641029146,0.005951567386909717,0.02124234764238131
35,23,56,Wind,0.6,0.0048289292207139844,0.0016631693686246507,0.010207339030120721,0.65,0.0048289292207139844,0.0020728567358148098,0.013291902979070791
36,24,57,Wind,0.075,0.008645963137983825,0.0032839440536840403,0.012783670765049271,0.24,0.008645963137983825,0.002224188554742712,0.01818091966695845
37,27,60,Wind,0.58,0.004141611390371391,0.0019387764837186516,0.009628995320619005,0.715,0.004141611390371391,0.0015441567281304636,0.015057667508424188
38,29,62,Wind,0.6,0.004532889871244006,0.0025321703678145013,0.010967539919023661,0.895,0.004532889871244006,0.0025184909302971015,0.01610485521612537
39,18,51,Wind,0.965,0.003060716303580957,0.0022801514320058835,0.009692705826242598,0.99,0.003060716303580957,0.0029291261017441172,0.015628479466286205
40,32,65,Wind,0.24,0.004773654830241059,0.001272394305969149,0.00961326927645012,0.475,0.004773654830241059,0.0011569017799353265,0.012222837056927505
41,38,71,Wind,0.9,0.0038863825961883425,0.0028441206508225125,0.008865791495558328,0.955,0.0038863825961883425,0.002143269533606107,0.013640932303863762
42,15,48,Wind,0.265,0.02557571906805234,0.014033372276864187,0.03395259737259004,0.15,0.02557571906805234,0.01206563340467004,0.03287120656815001
43,12,45,Wind,0.62,0.0047112291677002816,0.0024094461683143997,0.01088987537140973,0.76,0.0047112291677002816,0.0019269467389495532,0.016331711886604428
44,14,47,Wind,0.875,0.011662316557689012,0.009629332428141568,0.022224530799492603,0.925,0.011662316557689012,0.009677158794273888,0.025621378895895885
45,9,42,Wind,0.51,0.017722176783648402,0.009311064103007416,0.027794988771657758,0.375,0.017722176783648402,0.008023755681336509,0.028389121964356834
46,6,39,Wind,0.64,0.004955309643871031,0.002411771618912484,0.010808150606246292,0.655,0.004955309643871031,0.0019061163472577913,0.016796404781885377
47,44,77,Wind,0.495,0.004376242527612151,0.0020336215065215324,0.013199237905891836,0.685,0.004376242527612151,0.0019829286814838643,0.012303169551804105
48,41,74,Wind,0.795,0.0044836479000498475,0.0028344348016415832,0.009205125557225413,0.71,0.0044836479000498475,0.0022094087286810282,0.01782666204849126
49,49,82,Wind,0.695,0.0014331503058080397,0.000933562088462514,0.0063875351164048855,0.905,0.0014331503058080397,0.00047455169314392087,0.010132943573781583
50,46,79,Wind,0.89,0.002834144960813356,0.0018079097312566628,0.011330293789501455,0.945,0.002834144960813356,0.0015754444918749666,0.014268625453405681
51,47,80,Wind,0.44,0.003701046935055574,0.002035126385571351,0.008080312953830271,0.785,0.003701046935055574,0.0017365002044258393,0.014768075414111292
52,47,80,Wind,0.43,0.006984338276252444,0.0025256699288758178,0.015249358351306697,0.62,0.006984338276252444,0.0023733172193400875,0.01688944915095769
53,46,79,Wind,0.635,0.004542992973337379,0.0021380391669920673,0.013470219477350165,0.905,0.004542992973337379,0.0023229832583469,0.017833486903074958
54,22,55,SolarUPV,0.965,0.01037400343240047,0.009387675872419399,0.01982393718240183,0.935,0.01037400343240047,0.007130404432329707,0.030184636169154677
55,23,56,SolarUPV,0.8,0.002096395839863874,0.0012973164035399165,0.0064326297603392035,0.94,0.002096395839863874,0.0012239729895773266,0.013758901839567628
56,24,57,SolarUPV,0.42,0.004531370408702218,0.002249531298289975,0.009163429192703854,0.64,0.004531370408702218,0.0014309522104112293,0.01238732726183378
57,27,60,SolarUPV,0.845,0.0027882210743421787,0.0019937572426158567,0.007501900249969662,0.81,0.0027882210743421787,0.0010101922336551716,0.012837732896634702
58,29,62,SolarUPV,0.035,0.010133016357699143,0.0025348022518765223,0.01263168199262199,0.08,0.010133016357699143,0.0016293424231779152,0.016444249579173453
59,18,51,SolarUPV,0.975,0.0019200164989696678,0.0015013210204888328,0.006495035688703021,0.97,0.0019200164989696678,0.0013409273847388992,0.013751069392486714
60,32,65,SolarUPV,0.61,0.007299219387872258,0.003268624950438115,0.01389359231437548,0.14,0.007299219387872258,0.00017966246129152985,0.011607438850097518
61,38,71,SolarUPV,0.645,0.002620123820330056,0.001230291704944042,0.008179676324617136,0.82,0.002620123820330056,0.0012313748311838513,0.015086856006231608
62,12,45,SolarUPV,0.71,0.0024869084482117554,0.0014635055593499313,0.008665960548480234,0.955,0.0024869084482117554,0.0014635055593508195,0.015542433172239578
63,9,42,SolarUPV,0.475,0.01558153750429625,0.009046870803198104,0.026193842731751626,0.74,0.01558153750429625,0.009095632011684618,0.0314289196192199
64,6,39,SolarUPV,0.07,0.01028907781993027,0.0032947095006474747,0.012375156006807053,0.04,0.01028907781993027,0.0005402175708817403,0.016806957401617417
65,44,77,SolarUPV,0.93,0.0014690780124044789,0.0005587457411253549,0.005898210056019648,0.87,0.0014690780124044789,0.0005536809468484893,0.011765796994382738
66,46,79,SolarUPV,0.35,0.007719013181723078,0.0024718182352829743,0.01485294640050272,0.18,0.007719013181723078,0.0008150959620549791,0.015956693217189066
67,47,80,SolarUPV,0.655,0.002601737184735553,0.001295241130182978,0.008588019938133185,0.91,0.002601737184735553,0.0012581319382325429,0.015040243205130865
